Student_id,Age,Gender,School_type,Parent_education,study_hours,Attendance_percentage,Internet_access,Travel_time,Extra_activities,Study_method,Math_score,Science_score,English_score,Overall_score,Final_grade
1,14,Male,Public,Post Graduate,3.1,84.3,yes,<15 min,Yes,Notes,42.7,55.4,57,53.1,E
2,18,Female,Public,Graduate,3.7,87.8,yes,>60 min,No,Textbook,57.6,68.8,64.8,61.3,D
3,17,Female,Private,Post Graduate,7.9,65.5,no,<15 min,No,Notes,84.8,95,79.2,89.6,B
4,16,Other,Public,High School,1.1,58.1,no,15-30 min,No,Notes,44.4,27.5,54.7,41.6,E
5,16,Female,Public,High School,1.3,61,yes,30-60 min,Yes,Group study,8.9,32.7,30,25.4,F
6,19,Male,Public,No Formal,3.8,69.6,yes,>60 min,Yes,Coaching,51.5,78.3,63.9,63.5,D
7,14,Female,Private,Post Graduate,1.8,81.6,yes,30-60 min,No,Textbook,41.9,29.4,39.2,39.1,F
8,18,Female,Private,Post Graduate,5.6,59.4,yes,>60 min,Yes,Group study,56.7,60.1,53.4,69.6,D
9,15,Other,Private,High School,3.2,89.6,yes,15-30 min,Yes,Mixed,54.1,59.5,38.3,55.2,D
10,14,Female,Public,Diploma,6.8,62.4,yes,>60 min,No,Mixed,71.9,70.4,81.3,69.6,D
11,17,Female,Private,Graduate,6.1,90.5,yes,15-30 min,No,Notes,75.4,82.7,70.8,77.5,C
12,19,Other,Public,Post Graduate,4,96.2,yes,<15 min,Yes,Notes,62,54.7,58,65,D
13,18,Female,Private,High School,6.8,58.2,yes,>60 min,No,Mixed,75.1,80.5,56.2,73.6,C
14,18,Other,Public,Diploma,1.3,95.9,yes,30-60 min,Yes,Textbook,33.6,26.8,50,42.5,E
15,18,Other,Public,High School,4.9,85.3,yes,<15 min,No,Coaching,88.1,66.1,70.3,69.3,D
16,18,Other,Private,Post Graduate,5,94.4,yes,15-30 min,Yes,Coaching,66.4,76.9,76.1,73.7,C
17,17,Other,Private,Ph.D,2.3,67.3,yes,<15 min,Yes,Mixed,63.1,46.3,57.1,53.5,E
18,14,Female,Public,Post Graduate,0.9,93.2,yes,15-30 min,Yes,Online videos,57.2,50.5,54.1,49.8,E
19,19,Male,Public,Post Graduate,4.5,73.8,yes,30-60 min,Yes,Online videos,38.7,69.9,58.3,59.2,D
20,16,Female,Public,Post Graduate,4.4,59.5,yes,<15 min,No,Mixed,49.9,53.9,60.4,61.9,D
21,17,Male,Private,Ph.D,5.4,99.8,yes,>60 min,No,Textbook,84.9,77.6,77.6,81.3,C
22,16,Female,Public,Diploma,2.1,97.4,yes,>60 min,Yes,Group study,76.7,31.9,39.3,55,D
